PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26876321","Bipolar Depression and Cognitive Impairment: Shared Mechanisms and New Treatment Avenues","Depp CA, Dev S, Eyler LT.","Psychiatr Clin North Am. 2016 Mar;39(1):95-109. doi: 10.1016/j.psc.2015.09.004. Epub 2015 Dec 11.","Depp CA","Psychiatr Clin North Am","2016","2016/02/16","PMC4758200","NIHMS745009","10.1016/j.psc.2015.09.004"
"31150753","Classifying Mood Symptom Trajectories in Adolescents With Bipolar Disorder","Weintraub MJ, Schneck CD, Axelson DA, Birmaher B, Kowatch RA, Miklowitz DJ.","J Am Acad Child Adolesc Psychiatry. 2020 Mar;59(3):381-390. doi: 10.1016/j.jaac.2019.04.028. Epub 2019 May 28.","Weintraub MJ","J Am Acad Child Adolesc Psychiatry","2020","2019/06/01","PMC6881540","NIHMS1530302","10.1016/j.jaac.2019.04.028"
"19996040","Relationship between antiepileptic drugs and suicide attempts in patients with bipolar disorder","Gibbons RD, Hur K, Brown CH, Mann JJ.","Arch Gen Psychiatry. 2009 Dec;66(12):1354-60. doi: 10.1001/archgenpsychiatry.2009.159.","Gibbons RD","Arch Gen Psychiatry","2009","2009/12/10","PMC3926811","NIHMS552942","10.1001/archgenpsychiatry.2009.159"
"28285208","Predictors of tobacco abstinence in outpatient smokers with schizophrenia or bipolar disorder treated with varenicline and cognitive behavioral smoking cessation therapy","Schuster RM, Cather C, Pachas GN, Zhang H, Cieslak KM, Hoeppner SS, Schoenfeld D, Evins AE.","Addict Behav. 2017 Aug;71:89-95. doi: 10.1016/j.addbeh.2017.02.028. Epub 2017 Feb 24.","Schuster RM","Addict Behav","2017","2017/03/13","PMC6499932","NIHMS994696","10.1016/j.addbeh.2017.02.028"
"22614744","Bipolar disorder is associated with HIV transmission risk behavior among patients in treatment for HIV","Meade CS, Bevilacqua LA, Key MD.","AIDS Behav. 2012 Nov;16(8):2267-71. doi: 10.1007/s10461-012-0203-4.","Meade CS","AIDS Behav","2012","2012/05/23","PMC3629841","NIHMS456460","10.1007/s10461-012-0203-4"
"21829907","The effectiveness of cognitive behavioral group therapy in treating bipolar disorder: a randomized controlled study","Costa RT, Cheniaux E, Rosaes PA, Carvalho MR, Freire RC, Versiani M, Rangé BP, Nardi AE.","Braz J Psychiatry. 2011 Jun;33(2):144-9. doi: 10.1590/s1516-44462011000200009.","Costa RT","Braz J Psychiatry","2011","2011/08/11","","","10.1590/s1516-44462011000200009"
"21455943","Hippocampal morphology in lithium and non-lithium-treated bipolar I disorder patients, non-bipolar co-twins, and control twins","van Erp TG, Thompson PM, Kieseppä T, Bearden CE, Marino AC, Hoftman GD, Haukka J, Partonen T, Huttunen M, Kaprio J, Lönnqvist J, Poutanen VP, Toga AW, Cannon TD.","Hum Brain Mapp. 2012 Mar;33(3):501-10. doi: 10.1002/hbm.21239. Epub 2011 Mar 31.","van Erp TG","Hum Brain Mapp","2012","2011/04/02","PMC4383766","NIHMS405274","10.1002/hbm.21239"
"25241801","Abnormal development of monoaminergic neurons is implicated in mood fluctuations and bipolar disorder","Jukic MM, Carrillo-Roa T, Bar M, Becker G, Jovanovic VM, Zega K, Binder EB, Brodski C.","Neuropsychopharmacology. 2015 Mar;40(4):839-48. doi: 10.1038/npp.2014.244. Epub 2014 Sep 22.","Jukic MM","Neuropsychopharmacology","2015","2014/09/23","PMC4330498","","10.1038/npp.2014.244"
"16724884","A review of postpartum psychosis","Sit D, Rothschild AJ, Wisner KL.","J Womens Health (Larchmt). 2006 May;15(4):352-68. doi: 10.1089/jwh.2006.15.352.","Sit D","J Womens Health (Larchmt)","2006","2006/05/27","PMC3109493","NIHMS294422","10.1089/jwh.2006.15.352"
"25164093","Inter-episode affective intensity and instability: predictors of depression and functional impairment in bipolar disorder","Gershon A, Eidelman P.","J Behav Ther Exp Psychiatry. 2015 Mar;46:14-8. doi: 10.1016/j.jbtep.2014.07.005. Epub 2014 Aug 7.","Gershon A","J Behav Ther Exp Psychiatry","2015","2014/08/29","PMC4254202","NIHMS620019","10.1016/j.jbtep.2014.07.005"
"23269209","The role of purinergic signaling in depressive disorders","Sperlagh B, Csolle C, Ando RD, Goloncser F, Kittel A, Baranyi M.","Neuropsychopharmacol Hung. 2012 Dec;14(4):231-8.","Sperlagh B","Neuropsychopharmacol Hung","2012","2012/12/28","","",""
"25645172","Extreme cognitions in bipolar spectrum disorders: associations with personality disorder characteristics and risk for episode recurrence","Stange JP, Adams AM, O'Garro-Moore JK, Weiss RB, Ong ML, Walshaw PD, Abramson LY, Alloy LB.","Behav Ther. 2015 Mar;46(2):242-56. doi: 10.1016/j.beth.2014.09.003. Epub 2014 Sep 19.","Stange JP","Behav Ther","2015","2015/02/04","PMC4316749","NIHMS630366","10.1016/j.beth.2014.09.003"
"31164628","Validation of the animal model of bipolar disorder induced by Ouabain: face, construct and predictive perspectives","Valvassori SS, Dal-Pont GC, Resende WR, Varela RB, Lopes-Borges J, Cararo JH, Quevedo J.","Transl Psychiatry. 2019 Jun 4;9(1):158. doi: 10.1038/s41398-019-0494-6.","Valvassori SS","Transl Psychiatry","2019","2019/06/06","PMC6548776","","10.1038/s41398-019-0494-6"
"32966097","A Systematic Review of Nutraceuticals for the Treatment of Bipolar Disorder","Ashton MM, Kavanagh BE, Marx W, Berk M, Sarris J, Ng CH, Hopwood M, Williams LJ, Dean OM.","Can J Psychiatry. 2021 Mar;66(3):262-273. doi: 10.1177/0706743720961734. Epub 2020 Sep 23.","Ashton MM","Can J Psychiatry","2021","2020/09/23","PMC7958203","","10.1177/0706743720961734"
"32943446","PTSD and bipolar II disorder in Fukushima disaster relief workers after the 2011 nuclear accident","Hori A, Takebayashi Y, Tsubokura M, Kim Y.","BMJ Case Rep. 2020 Sep 17;13(9):e236725. doi: 10.1136/bcr-2020-236725.","Hori A","BMJ Case Rep","2020","2020/09/18","PMC7500185","","10.1136/bcr-2020-236725"
"22508073","Psychosocial interventions in bipolar disorder: a review","Lolich M, Vázquez GH, Alvarez LM, Tamayo JM.","Actas Esp Psiquiatr. 2012 Mar-Apr;40(2):84-92. Epub 2012 Mar 1.","Lolich M","Actas Esp Psiquiatr","2012","2012/04/18","","",""
"32942345","Little Agreement on Treating Residual Bipolar Disorder Symptoms in a Child","Post RM, Rowe M, Findling R.","Prim Care Companion CNS Disord. 2020 Sep 17;22(5):19m02574. doi: 10.4088/PCC.19m02574.","Post RM","Prim Care Companion CNS Disord","2020","2020/09/17","","","10.4088/PCC.19m02574"
"21939168","Executive function and attention span in euthymic patients with bipolar 1 disorder","Normala I, Abdul HA, Azlin B, Nik Ruzyanei NJ, Hazli Z, Shah SA.","Med J Malaysia. 2010 Sep;65(3):199-203.","Normala I","Med J Malaysia","2010","2011/09/24","","",""
"28470468","Facebook for Supporting a Lifestyle Intervention for People with Major Depressive Disorder, Bipolar Disorder, and Schizophrenia: an Exploratory Study","Naslund JA, Aschbrenner KA, Marsch LA, McHugo GJ, Bartels SJ.","Psychiatr Q. 2018 Mar;89(1):81-94. doi: 10.1007/s11126-017-9512-0.","Naslund JA","Psychiatr Q","2018","2017/05/05","PMC5758428","NIHMS873569","10.1007/s11126-017-9512-0"
"27177717","Effectiveness of cognitive behavioral therapy in treating bipolar disorder: An updated meta-analysis with randomized controlled trials","Ye BY, Jiang ZY, Li X, Cao B, Cao LP, Lin Y, Xu GY, Miao GD.","Psychiatry Clin Neurosci. 2016 Aug;70(8):351-61. doi: 10.1111/pcn.12399. Epub 2016 Jun 26.","Ye BY","Psychiatry Clin Neurosci","2016","2016/05/15","","","10.1111/pcn.12399"
"19794361","The comorbidity of bipolar disorder and cardiovascular diseases from pharmacotherapy perspective","Vuksan-Cusa B, Marcinko D, Sagud M, Jakovljević M.","Psychiatr Danub. 2009 Sep;21(3):382-5.","Vuksan-Cusa B","Psychiatr Danub","2009","2009/10/02","","",""
"22375965","Mindfulness based cognitive therapy improves frontal control in bipolar disorder: a pilot EEG study","Howells FM, Ives-Deliperi VL, Horn NR, Stein DJ.","BMC Psychiatry. 2012 Feb 29;12:15. doi: 10.1186/1471-244X-12-15.","Howells FM","BMC Psychiatry","2012","2012/03/02","PMC3305658","","10.1186/1471-244X-12-15"
"23844755","Evaluation of the acceptability and usefulness of an information website for caregivers of people with bipolar disorder","Berk L, Berk M, Dodd S, Kelly C, Cvetkovski S, Jorm AF.","BMC Med. 2013 Jul 11;11:162. doi: 10.1186/1741-7015-11-162.","Berk L","BMC Med","2013","2013/07/13","PMC3717000","","10.1186/1741-7015-11-162"
"23414176","A randomised controlled trial of time limited CBT informed psychological therapy for anxiety in bipolar disorder","Jones S, McGrath E, Hampshire K, Owen R, Riste L, Roberts C, Davies L, Mayes D.","BMC Psychiatry. 2013 Feb 15;13:54. doi: 10.1186/1471-244X-13-54.","Jones S","BMC Psychiatry","2013","2013/02/19","PMC3600033","","10.1186/1471-244X-13-54"
"32083495","Demographic and Clinical Characteristics, Including Subsyndromal Symptoms Across Bipolar-Spectrum Disorders in Adolescents","Salazar de Pablo G, Guinart D, Cornblatt BA, Auther AM, Carrión RE, Carbon M, Jiménez-Fernández S, Vernal DL, Walitza S, Gerstenberg M, Saba R, Lo Cascio N, Brandizzi M, Arango C, Moreno C, Van Meter A, Correll CU.","J Child Adolesc Psychopharmacol. 2020 May;30(4):222-234. doi: 10.1089/cap.2019.0138. Epub 2020 Feb 21.","Salazar de Pablo G","J Child Adolesc Psychopharmacol","2020","2020/02/22","PMC7232658","","10.1089/cap.2019.0138"
"28129636","Towards recovery-oriented psychosocial interventions for bipolar disorder: Quality of life outcomes, stage-sensitive treatments, and mindfulness mechanisms","Murray G, Leitan ND, Thomas N, Michalak EE, Johnson SL, Jones S, Perich T, Berk L, Berk M.","Clin Psychol Rev. 2017 Mar;52:148-163. doi: 10.1016/j.cpr.2017.01.002. Epub 2017 Jan 17.","Murray G","Clin Psychol Rev","2017","2017/01/28","","","10.1016/j.cpr.2017.01.002"
"18794208","Adjunctive psychotherapy for bipolar disorder: state of the evidence","Miklowitz DJ.","Am J Psychiatry. 2008 Nov;165(11):1408-19. doi: 10.1176/appi.ajp.2008.08040488. Epub 2008 Sep 15.","Miklowitz DJ","Am J Psychiatry","2008","2008/09/17","PMC2613162","NIHMS81897","10.1176/appi.ajp.2008.08040488"
"28435979","Oxytocin system in neuropsychiatric disorders: Old concept, new insights","Misrani A, Tabassum S, Long C.","Sheng Li Xue Bao. 2017 Apr 25;69(2):196-206.","Misrani A","Sheng Li Xue Bao","2017","2017/04/25","","",""
"18552626","Caregiver burden and health in bipolar disorder: a cluster analytic approach","Perlick DA, Rosenheck RA, Miklowitz DJ, Kaczynski R, Link B, Ketter T, Wisniewski S, Wolff N, Sachs G; STEP-BD Family Experience Collaborative Study Group.","J Nerv Ment Dis. 2008 Jun;196(6):484-91. doi: 10.1097/NMD.0b013e3181773927.","Perlick DA","J Nerv Ment Dis","2008","2008/06/17","PMC4006696","NIHMS564243","10.1097/NMD.0b013e3181773927"
"33503168","Obsessive-compulsive disorder reinforcement during the COVID-19 pandemic","Ornell F, Braga DT, Bavaresco DV, Francke ID, Scherer JN, von Diemen L, Kessler FHP.","Trends Psychiatry Psychother. 2021 Apr-Jun;43(2):81-84. doi: 10.47626/2237-6089-2020-0054. Epub 2021 Jan 22.","Ornell F","Trends Psychiatry Psychother","2021","2021/01/27","PMC8317547","","10.47626/2237-6089-2020-0054"
"31096228","Paliperidone Use in Child Psychiatry: Evidence or Diffidence?","Naguy A, Adel T, Almazeedi I.","Pharmacology. 2019;104(1-2):67-70. doi: 10.1159/000500629. Epub 2019 May 16.","Naguy A","Pharmacology","2019","2019/05/17","","","10.1159/000500629"
"17417813","Bipolar disorder: what can psychotherapists learn from the cognitive research?","Johnson S, Tran T.","J Clin Psychol. 2007 May;63(5):425-32. doi: 10.1002/jclp.20361.","Johnson S","J Clin Psychol","2007","2007/04/10","PMC2862218","NIHMS183385","10.1002/jclp.20361"
"22414657","Parenting and the emotional and behavioural adjustment of young children in families with a parent with bipolar disorder","Calam R, Jones S, Sanders MR, Dempsey R, Sadhnani V.","Behav Cogn Psychother. 2012 Jul;40(4):425-37. doi: 10.1017/S1352465812000094. Epub 2012 Mar 14.","Calam R","Behav Cogn Psychother","2012","2012/03/15","","","10.1017/S1352465812000094"
"19820864","Bipolar affective disorder: medication adherence and satisfaction with treatment and guidance by the health team in a mental health service","Miasso AI, Monteschi M, Giacchero KG.","Rev Lat Am Enfermagem. 2009 Jul-Aug;17(4):548-56. doi: 10.1590/s0104-11692009000400018.","Miasso AI","Rev Lat Am Enfermagem","2009","2009/10/13","","","10.1590/s0104-11692009000400018"
"24604467","Cardiovascular risk in bipolar disorder: beyond medication effects and lifestyle factors","Soreca I, Kupfer DJ.","Braz J Psychiatry. 2014 Jan-Mar;36(1):100. doi: 10.1590/1516-4446-2013-3506. Epub 2014 Mar 1.","Soreca I","Braz J Psychiatry","2014","2014/03/08","","","10.1590/1516-4446-2013-3506"
"33179961","Glutamatergic Correlates of Bipolar Symptoms in Adolescents","Sonmez AI, Lewis CP, Port JD, Cabello-Arreola A, Blacker CJ, Seewoo BJ, McKean AJ, Leffler JM, Frye MA, Croarkin PE.","J Child Adolesc Psychopharmacol. 2020 Dec;30(10):599-605. doi: 10.1089/cap.2020.0082. Epub 2020 Nov 11.","Sonmez AI","J Child Adolesc Psychopharmacol","2020","2020/11/12","PMC7757593","","10.1089/cap.2020.0082"
"28625231","You'll feel better in the morning: slow wave activity and overnight mood regulation in interepisode bipolar disorder","Soehner AM, Kaplan KA, Saletin JM, Talbot LS, Hairston IS, Gruber J, Eidelman P, Walker MP, Harvey AG.","Psychol Med. 2018 Jan;48(2):249-260. doi: 10.1017/S0033291717001581. Epub 2017 Jun 19.","Soehner AM","Psychol Med","2018","2017/06/20","PMC5736461","NIHMS890687","10.1017/S0033291717001581"
"24399553","Maintenance treatment with varenicline for smoking cessation in patients with schizophrenia and bipolar disorder: a randomized clinical trial","Evins AE, Cather C, Pratt SA, Pachas GN, Hoeppner SS, Goff DC, Achtyes ED, Ayer D, Schoenfeld DA.","JAMA. 2014 Jan 8;311(2):145-54. doi: 10.1001/jama.2013.285113.","Evins AE","JAMA","2014","2014/01/09","PMC4124884","NIHMS606183","10.1001/jama.2013.285113"
"30208971","Effect of action-based cognitive remediation on cognition and neural activity in bipolar disorder: study protocol for a randomized controlled trial","Ott CV, Vinberg M, Bowie CR, Christensen EM, Knudsen GM, Kessing LV, Miskowiak KW.","Trials. 2018 Sep 12;19(1):487. doi: 10.1186/s13063-018-2860-8.","Ott CV","Trials","2018","2018/09/14","PMC6134776","","10.1186/s13063-018-2860-8"
"29869405","Adjunctive thyroid hormone treatment in rapid cycling bipolar disorder: A double-blind placebo-controlled trial of levothyroxine (L-T(4) ) and triiodothyronine (T(3) )","Walshaw PD, Gyulai L, Bauer M, Bauer MS, Calimlim B, Sugar CA, Whybrow PC.","Bipolar Disord. 2018 Nov;20(7):594-603. doi: 10.1111/bdi.12657. Epub 2018 Jun 4.","Walshaw PD","Bipolar Disord","2018","2018/06/06","PMC6323302","NIHMS963848","10.1111/bdi.12657"
"17687266","Three-dimensional mapping of hippocampal anatomy in unmedicated and lithium-treated patients with bipolar disorder","Bearden CE, Thompson PM, Dutton RA, Frey BN, Peluso MA, Nicoletti M, Dierschke N, Hayashi KM, Klunder AD, Glahn DC, Brambilla P, Sassi RB, Mallinger AG, Soares JC.","Neuropsychopharmacology. 2008 May;33(6):1229-38. doi: 10.1038/sj.npp.1301507. Epub 2007 Aug 8.","Bearden CE","Neuropsychopharmacology","2008","2007/08/10","PMC6693586","NIHMS193190","10.1038/sj.npp.1301507"
"33050952","Adjuvant psychotherapy in early-stage bipolar disorder: study protocol for a randomized controlled trial","Stamm TJ, Zwick JC, O'Malley G, Sondergeld LM, Hautzinger M.","Trials. 2020 Oct 13;21(1):845. doi: 10.1186/s13063-020-04755-8.","Stamm TJ","Trials","2020","2020/10/14","PMC7552468","","10.1186/s13063-020-04755-8"
"22070662","The effect of pharmacotherapy on suicide rates in bipolar patients","Rihmer Z, Gonda X.","CNS Neurosci Ther. 2012 Mar;18(3):238-42. doi: 10.1111/j.1755-5949.2011.00261.x. Epub 2011 Aug 1.","Rihmer Z","CNS Neurosci Ther","2012","2011/11/11","PMC6493529","","10.1111/j.1755-5949.2011.00261.x"
"23927375","Evidence-based psychosocial treatments for child and adolescent bipolar spectrum disorders","Fristad MA, MacPherson HA.","J Clin Child Adolesc Psychol. 2014;43(3):339-55. doi: 10.1080/15374416.2013.822309. Epub 2013 Aug 8.","Fristad MA","J Clin Child Adolesc Psychol","2014","2013/08/10","PMC3844106","NIHMS506307","10.1080/15374416.2013.822309"
"21701911","Characterization and factors associated with sleep quality in adolescents with bipolar I disorder","Roybal DJ, Chang KD, Chen MC, Howe ME, Gotlib IH, Singh MK.","Child Psychiatry Hum Dev. 2011 Dec;42(6):724-40. doi: 10.1007/s10578-011-0239-0.","Roybal DJ","Child Psychiatry Hum Dev","2011","2011/06/25","PMC3379876","NIHMS383854","10.1007/s10578-011-0239-0"
"25944853","Cerebroprotective effects of RAS inhibitors: Beyond their cardio-renal actions","Kalra J, Prakash A, Kumar P, Majeed AB.","J Renin Angiotensin Aldosterone Syst. 2015 Sep;16(3):459-68. doi: 10.1177/1470320315583582. Epub 2015 May 5.","Kalra J","J Renin Angiotensin Aldosterone Syst","2015","2015/05/07","","","10.1177/1470320315583582"
"32036073","Characteristics of youth at high risk for bipolar disorder compared to youth with bipolar I or II disorder","Weintraub MJ, Schneck CD, Walshaw PD, Chang KD, Singh MK, Axelson DA, Birmaher B, Miklowitz DJ.","J Psychiatr Res. 2020 Apr;123:48-53. doi: 10.1016/j.jpsychires.2020.01.010. Epub 2020 Jan 25.","Weintraub MJ","J Psychiatr Res","2020","2020/02/10","PMC7047576","NIHMS1560814","10.1016/j.jpsychires.2020.01.010"
"18582440","Bipolar pathophysiology and development of improved treatments","Bowden CL.","Brain Res. 2008 Oct 15;1235:92-7. doi: 10.1016/j.brainres.2008.05.084. Epub 2008 Jun 11.","Bowden CL","Brain Res","2008","2008/06/28","PMC3794894","NIHMS74721","10.1016/j.brainres.2008.05.084"
"26117247","Adjunctive psychosocial intervention following Hospital discharge for Patients with bipolar disorder and comorbid substance use: A pilot randomized controlled trial","Wenze SJ, Gaudiano BA, Weinstock LM, Tezanos KM, Miller IW.","Psychiatry Res. 2015 Aug 30;228(3):516-25. doi: 10.1016/j.psychres.2015.06.005. Epub 2015 Jun 15.","Wenze SJ","Psychiatry Res","2015","2015/06/29","PMC4532639","NIHMS704923","10.1016/j.psychres.2015.06.005"
"30015785","Symptom Dimensions and Trajectories of Functioning Among Bipolar Youth: A Cluster Analysis","Peters AT, Weinstein SM, Isaia A, VAN Meter A, Zulauf CA, West AE.","J Psychiatr Pract. 2018 May;24(3):146-157. doi: 10.1097/PRA.0000000000000307.","Peters AT","J Psychiatr Pract","2018","2018/07/18","PMC6050982","NIHMS951449","10.1097/PRA.0000000000000307"
"35163764","Therapeutic Interventions to Mitigate Mitochondrial Dysfunction and Oxidative Stress-Induced Damage in Patients with Bipolar Disorder","Madireddy S, Madireddy S.","Int J Mol Sci. 2022 Feb 6;23(3):1844. doi: 10.3390/ijms23031844.","Madireddy S","Int J Mol Sci","2022","2022/02/15","PMC8836876","","10.3390/ijms23031844"
"20339736","Low frequency of bipolar disorder, dopamine dysregulation syndrome, and punding in Brazilian patients with Parkinson's disease","Kummer A, Dias FM, Cardoso F, Teixeira AL.","Braz J Psychiatry. 2010 Mar;32(1):62-5. doi: 10.1590/s1516-44462010000100012.","Kummer A","Braz J Psychiatry","2010","2010/03/27","","","10.1590/s1516-44462010000100012"
"26689387","A systematic review of cognitive rehabilitation for bipolar disorder","Kluwe-Schiavon B, Viola TW, Levandowski ML, Bortolotto VR, Azevedo e Souza LS, Tractenberg SG, Soares T.","Trends Psychiatry Psychother. 2015 Oct-Dec;37(4):194-201. doi: 10.1590/2237-6089-2015-0006.","Kluwe-Schiavon B","Trends Psychiatry Psychother","2015","2015/12/23","","","10.1590/2237-6089-2015-0006"
"21497222","Illness experience and reasons for nonadherence among individuals with bipolar disorder who are poorly adherent with medication","Sajatovic M, Levin J, Fuentes-Casiano E, Cassidy KA, Tatsuoka C, Jenkins JH.","Compr Psychiatry. 2011 May-Jun;52(3):280-7. doi: 10.1016/j.comppsych.2010.07.002. Epub 2010 Sep 1.","Sajatovic M","Compr Psychiatry","2011","2011/04/19","PMC3140848","NIHMS306821","10.1016/j.comppsych.2010.07.002"
"25600111","Levothyroxine effects on depressive symptoms and limbic glucose metabolism in bipolar disorder: a randomized, placebo-controlled positron emission tomography study","Bauer M, Berman S, Stamm T, Plotkin M, Adli M, Pilhatsch M, London ED, Hellemann GS, Whybrow PC, Schlagenhauf F.","Mol Psychiatry. 2016 Feb;21(2):229-36. doi: 10.1038/mp.2014.186. Epub 2015 Jan 20.","Bauer M","Mol Psychiatry","2016","2015/01/21","PMC4790155","","10.1038/mp.2014.186"
"33925578","Validity and Usage of the Seasonal Pattern Assessment Questionnaire (SPAQ) in a French Population of Patients with Depression, Bipolar Disorders and Controls","Reynaud E, Berna F, Haffen E, Weiner L, Maruani J, Lejoyeux M, Schroder CM, Bourgin P, Geoffroy PA.","J Clin Med. 2021 Apr 27;10(9):1897. doi: 10.3390/jcm10091897.","Reynaud E","J Clin Med","2021","2021/04/30","PMC8123881","","10.3390/jcm10091897"
"27956009","Maintenance pharmacotherapy normalizes the relapse curve in recently abstinent tobacco smokers with schizophrenia and bipolar disorder","Evins AE, Hoeppner SS, Schoenfeld DA, Hoeppner BB, Cather C, Pachas GN, Cieslak KM, Maravic MC.","Schizophr Res. 2017 May;183:124-129. doi: 10.1016/j.schres.2016.11.018. Epub 2016 Dec 9.","Evins AE","Schizophr Res","2017","2016/12/14","PMC5432398","NIHMS836098","10.1016/j.schres.2016.11.018"
"33748657","Depression, Anxiety, and Pain among Newly Admitted Nursing Home Residents","Ulbricht CM, Hunnicutt JN, Hume AL, Lapane KL.","J Nurs Home Res Sci. 2019;5:40-48. doi: 10.14283/jnhrs.2019.8. Epub 2019 Jul 1.","Ulbricht CM","J Nurs Home Res Sci","2019","2021/03/22","PMC7978416","NIHMS1591649","10.14283/jnhrs.2019.8"
"33656816","Pilot Study of a Brief Sleep Intervention for Suicidal Ideation in Bipolar Disorder","Sylvia LG, Janos JA, Pegg SL, Montana RE, Gold AK, Bianchi M, Nierenberg AA.","J Psychiatr Pract. 2021 Mar 5;27(2):109-114. doi: 10.1097/PRA.0000000000000528.","Sylvia LG","J Psychiatr Pract","2021","2021/03/03","PMC7935402","NIHMS1661225","10.1097/PRA.0000000000000528"
"21933201","Impact of depressive symptoms on future alcohol use in patients with co-occurring bipolar disorder and alcohol dependence: a prospective analysis in an 8-week randomized controlled trial of acamprosate","Prisciandaro JJ, DeSantis SM, Chiuzan C, Brown DG, Brady KT, Tolliver BK.","Alcohol Clin Exp Res. 2012 Mar;36(3):490-6. doi: 10.1111/j.1530-0277.2011.01645.x. Epub 2011 Sep 20.","Prisciandaro JJ","Alcohol Clin Exp Res","2012","2011/09/22","PMC3248624","NIHMS319770","10.1111/j.1530-0277.2011.01645.x"
"29779901","White matter disruptions in patients with bipolar disorder","Abramovic L, Boks MPM, Vreeker A, Verkooijen S, van Bergen AH, Ophoff RA, Kahn RS, van Haren NEM.","Eur Neuropsychopharmacol. 2018 Jun;28(6):743-751. doi: 10.1016/j.euroneuro.2018.01.001. Epub 2018 May 18.","Abramovic L","Eur Neuropsychopharmacol","2018","2018/05/22","PMC6008233","NIHMS969068","10.1016/j.euroneuro.2018.01.001"
"22622229","Epigenetics of major psychosis: progress, problems and perspectives","Labrie V, Pai S, Petronis A.","Trends Genet. 2012 Sep;28(9):427-35. doi: 10.1016/j.tig.2012.04.002. Epub 2012 May 21.","Labrie V","Trends Genet","2012","2012/05/25","PMC3422438","NIHMS379484","10.1016/j.tig.2012.04.002"
"24131164","Treatment outcomes of a combined cognitive behavior therapy and pharmacotherapy for a sample of women with and without substance abuse histories on an acute psychiatric unit: do therapeutic alliance and motivation matter?","Clarke N, Mun EY, Kelly S, White HR, Lynch K.","Am J Addict. 2013 Nov-Dec;22(6):566-73. doi: 10.1111/j.1521-0391.2013.12013.x. Epub 2013 Apr 5.","Clarke N","Am J Addict","2013","2013/10/18","PMC3989070","NIHMS557676","10.1111/j.1521-0391.2013.12013.x"
"15609476","Delirium in palliative care","Friedlander MM, Brayman Y, Breitbart WS.","Oncology (Williston Park). 2004 Oct;18(12):1541-50; discussion 1551-3.","Friedlander MM","Oncology (Williston Park)","2004","2004/12/22","","",""
"26940112","Feasibility randomised controlled trial of Recovery-focused Cognitive Behavioural Therapy for Older Adults with bipolar disorder (RfCBT-OA): study protocol","Tyler E, Lobban F, Sutton C, Depp C, Johnson S, Laidlaw K, Jones SH.","BMJ Open. 2016 Mar 3;6(3):e010590. doi: 10.1136/bmjopen-2015-010590.","Tyler E","BMJ Open","2016","2016/03/05","PMC4785318","","10.1136/bmjopen-2015-010590"
"35075120","Functional neuroanatomy of mania","Cotovio G, Oliveira-Maia AJ.","Transl Psychiatry. 2022 Jan 24;12(1):29. doi: 10.1038/s41398-022-01786-4.","Cotovio G","Transl Psychiatry","2022","2022/01/25","PMC8786958","","10.1038/s41398-022-01786-4"
"33843607","A Smartphone-Based Self-management Intervention for Bipolar Disorder (LiveWell): User-Centered Development Approach","Jonathan GK, Dopke CA, Michaels T, Bank A, Martin CR, Adhikari K, Krakauer RL, Ryan C, McBride A, Babington P, Frauenhofer E, Silver J, Capra C, Simon M, Begale M, Mohr DC, Goulding EH.","JMIR Ment Health. 2021 Apr 12;8(4):e20424. doi: 10.2196/20424.","Jonathan GK","JMIR Ment Health","2021","2021/04/12","PMC8076988","","10.2196/20424"
"16890995","Behavioral activation, inhibition and mood symptoms in early-onset bipolar disorder","Biuckians A, Miklowitz DJ, Kim EY.","J Affect Disord. 2007 Jan;97(1-3):71-6. doi: 10.1016/j.jad.2006.07.005. Epub 2006 Aug 4.","Biuckians A","J Affect Disord","2007","2006/08/08","PMC2194807","NIHMS36686","10.1016/j.jad.2006.07.005"
"18335055","Decreased expression of Sprouty2 in the dorsolateral prefrontal cortex in schizophrenia and bipolar disorder: a correlation with BDNF expression","Pillai A.","PLoS One. 2008 Mar 12;3(3):e1784. doi: 10.1371/journal.pone.0001784.","Pillai A","PLoS One","2008","2008/03/13","PMC2262156","","10.1371/journal.pone.0001784"
"26893564","Neuroleptic-induced deficit syndrome in bipolar disorder with psychosis","Ueda S, Sakayori T, Omori A, Fukuta H, Kobayashi T, Ishizaka K, Saijo T, Okubo Y.","Neuropsychiatr Dis Treat. 2016 Feb 2;12:265-8. doi: 10.2147/NDT.S99577. eCollection 2016.","Ueda S","Neuropsychiatr Dis Treat","2016","2016/02/20","PMC4745952","","10.2147/NDT.S99577"
"22548902","Six-month outcomes of customized adherence enhancement (CAE) therapy in bipolar disorder","Sajatovic M, Levin J, Tatsuoka C, Micula-Gondek W, Fuentes-Casiano E, Bialko CS, Cassidy KA.","Bipolar Disord. 2012 May;14(3):291-300. doi: 10.1111/j.1399-5618.2012.01010.x.","Sajatovic M","Bipolar Disord","2012","2012/05/03","PMC3342843","NIHMS365118","10.1111/j.1399-5618.2012.01010.x"
