index	name	author	DOI	base
273	EMDR therapy modulates the default mode network in a subsyndromal, traumatized bipolar patient.	Landin-Romero, Ramon; Novo, Patricia; Vicens, Victor; McKenna, Peter J; Santed, Antonia; Pomarol-Clotet, Edith; Salgado-Pineda, Pilar; Shapiro, Francine; Amann, Benedikt L	10.1159/000346654	bvs
274	Patient, treatment, and anatomical predictors of outcome in electroconvulsive therapy: a prospective study.	van Waarde, Jeroen A; van Oudheusden, Lucas J B; Heslinga, Oscar Büno; Verwey, Bastiaan; van der Mast, Rose C; Giltay, Erik	10.1097/YCT.0b013e31827e0d02	bvs
275	[Cognitive deficits in first episode psychosis patients and people at risk for psychosis: from diagnosis to treatment]./ Troubles cognitifs des sujets présentant un premier épisode psychotique et à haut risque de transition vers la psychose: du repérage à la prise en charge.	Lecardeur, L; Meunier-Cussac, S; Dollfus, S	10.1016/j.encep.2012.10.011	bvs
276	Bipolar depression in pediatric populations : epidemiology and management.	Cosgrove, Victoria E; Roybal, Donna; Chang, Kiki D	10.1007/s40272-013-0022-8	bvs
277	Efficacy of functional remediation in bipolar disorder: a multicenter randomized controlled study.	Torrent, Carla; Bonnin, Caterina del Mar; Martínez-Arán, Anabel; Valle, Jesús; Amann, Benedikt L; González-Pinto, Ana; Crespo, José Manuel; Ibáñez, Ángela; Garcia-Portilla, Mari Paz; Tabarés-Seisdedos, Rafael; Arango, Celso; Colom, Francesc; Solé, Brisa; Pacchiarotti, Isabella; Rosa, Adriane R; Ayuso-Mateos, Jose Luis; Anaya, Celia; Fernández, Patricia; Landín-Romero, Ramon; Alonso-Lana, Silvia; Ortiz-Gil, Jordi; Segura, Bàrbara; Barbeito, Sara; Vega, Patricia; Fernández, Miryam; Ugarte, Amaia; Subirà, Marta; Cerrillo, Ester; Custal, Núria; Menchón, José Manuel; Saiz-Ruiz, Jerónimo; Rodao, Jose Maria; Isella, Sandra; Alegría, Analucía; Al-Halabi, Susana; Bobes, Julio; Galván, Gonzalo; Saiz, Pilar A; Balanzá-Martínez, Vicent; Selva, Gabriel; Fuentes-Durá, Inmaculada; Correa, Patricia; Mayoral, María; Chiclana, Guadalupe; Merchan-Naranjo, Jessica; Rapado-Castro, Marta; Salamero, Manel; Vieta, Eduard	10.1176/appi.ajp.2012.12070971	bvs
278	Psychometric properties of the CES-D-10 in a psychiatric sample.	Björgvinsson, Thröstur; Kertz, Sarah J; Bigda-Peyton, Joe S; McCoy, Katrina L; Aderka, Idan M	10.1177/1073191113481998	bvs
279	A double-blind, placebo-controlled study of the impact of galantamine on anterograde memory impairment during electroconvulsive therapy.	Matthews, John D; Siefert, Caleb J; Blais, Mark A; Park, Lawrence T; Siefert, Caleb J; Welch, Charles A; Dubois, Christina M; van Nieuwenhuizen, Adrienne O; Rooney, Kathryn O; Seabrook, Rita C; Durham, Lauren E; Adams, Heather C; Fava, Maurizio	10.1097/YCT.0b013e31828b3523	bvs
280	A behavioral weight-loss intervention in persons with serious mental illness.	Daumit, Gail L; Dickerson, Faith B; Wang, Nae-Yuh; Dalcin, Arlene; Jerome, Gerald J; Anderson, Cheryl A M; Young, Deborah R; Frick, Kevin D; Yu, Airong; Gennusa, Joseph V; Oefinger, Meghan; Crum, Rosa M; Charleston, Jeanne; Casagrande, Sarah S; Guallar, Eliseo; Goldberg, Richard W; Campbell, Leslie M; Appel, Lawrence J	10.1056/NEJMoa1214530	bvs
281	The role of CBT in explicit memory bias in bipolar I patients.	Docteur, Aurélie; Mirabel-Sarron, Christine; Guelfi, Julien-Daniel; Rouillon, Frédéric; Gorwood, Philip	10.1016/j.jbtep.2012.12.003	bvs
282	Effects of cigarette smoking on neuropsychological performance in mood disorders: a comparison between smoking and nonsmoking inpatients.	Caldirola, Daniela; Daccò, Silvia; Grassi, Massimiliano; Citterio, Alessandra; Menotti, Roberta; Cavedini, Paolo; Girardi, Paolo; Perna, Giampaolo	10.4088/JCP.12m07985	bvs
283	The role of pretreatment outcome expectancies and cognitive-behavioral skills in symptom improvement in an acute psychiatric setting.	Webb, Christian A; Kertz, Sarah J; Bigda-Peyton, Joe S; Björgvinsson, Thröstur	10.1016/j.jad.2013.02.016	bvs
284	Neuropsychological and socio-occupational functioning in young psychiatric outpatients: a longitudinal investigation.	Lee, Rico S C; Hermens, Daniel F; Redoblado-Hodge, M Antoinette; Naismith, Sharon L; Porter, Melanie A; Kaur, Manreena; White, Django; Scott, Elizabeth M; Hickie, Ian B	10.1371/journal.pone.0058176	bvs
285	Antipsychotic medications and cognitive functioning in bipolar disorder: moderating effects of COMT Val108/158 Met genotype.	Arts, Baer; Simons, Claudia J P; Drukker, Marjan; van Os, Jim	10.1186/1471-244X-13-63	bvs
286	Early interventions to prevent psychosis: systematic review and meta-analysis.	Stafford, Megan R; Jackson, Hannah; Mayo-Wilson, Evan; Morrison, Anthony P; Kendall, Tim	10.1136/bmj.f185	bvs
287	Differential effects of depression and mania symptoms on social adjustment: prospective study in bipolar disorder.	Morriss, Richard; Yang, Min; Chopra, Arun; Bentall, Richard; Paykel, Eugene; Scott, Jan	10.1111/bdi.12036	bvs
288	Social isolation associated with depression: a case report of hikikomori.	Teo, Alan R	10.1177/0020764012437128	bvs
289	Assessment of cognitive impairments and seizure characteristics in electroconvulsive therapy with and without sodium valproate in manic patients.	Haghighi, Mohammad; Bajoghli, Hafez; Bigdelou, Gholamreza; Jahangard, Leila; Holsboer-Trachsler, Edith; Brand, Serge	10.1159/000343490	bvs
290	Current status of co-occurring mood and substance use disorders: a new therapeutic target.	Pettinati, Helen M; O'Brien, Charles P; Dundon, William D	10.1176/appi.ajp.2012.12010112	bvs
291	Persistence of cognitive impairment and its negative impact on psychosocial functioning in lithium-treated, euthymic bipolar patients: a 6-year follow-up study.	Mora, E; Portella, M J; Forcada, I; Vieta, E; Mur, M	10.1017/S0033291712001948	bvs
292	Predictors of medication adherence in patients with schizophrenia and bipolar disorder.	Jónsdóttir, H; Opjordsmoen, S; Birkenaes, A B; Simonsen, C; Engh, J A; Ringen, P A; Vaskinn, A; Friis, S; Sundet, K; Andreassen, O A	10.1111/j.1600-0447.2012.01911.x	bvs
293	Promoting homework adherence in cognitive-behavioral therapy for adolescent depression.	Jungbluth, Nathaniel J; Shirk, Stephen R	10.1080/15374416.2012.743105	bvs
294	The impact of childhood trauma on cognitive functioning in patients recently recovered from a first manic episode: data from the Systematic Treatment Optimization Program for Early Mania (STOP-EM).	Bücker, J; Kozicky, J; Torres, I J; Kauer-Sant'anna, M; Silveira, L E; Bond, D J; Lam, R W; Yatham, L N	10.1016/j.jad.2012.11.022	bvs
295	Irritability in children and adolescents: past concepts, current debates, and future opportunities	Krieger, Fernanda Valle; Leibenluft, Ellen; Stringaris, Argyris; Polanczyk, Guilherme V.	10.1590/S1516-44462013000500005	bvs
296	Síndrome de disregulación emocional: una nueva entidad diagnóstica. A propósito de un caso/ Disruptive mood dysregulation disorder: a new disease. A case report	Rodríguez Quiroga, Alberto; Pelaz Antolín, Antonio		bvs
297	Pediatric social anxiety disorder: predictors of response to pharmacological treatment.	Masi, Gabriele; Pfanner, Chiara; Mucci, Maria; Berloffa, Stefano; Magazù, Angela; Parolin, Giulia; Perugi, Giulio	10.1089/cap.2012.0007	bvs
298	[Neurological soft signs: meaning and relevance along the course of psychiatric illness. An objective and rapid screening for psychosis?]./ Neurological soft signs: significato e rilevanza nel corso della patologia psichiatrica. Uno screening obiettivo veloce per psicosi?	Dimitri-Valente, Giorgia; Rigucci, Silvia; Manfredi, Giovanni; Girardi, Paolo; Ferracuti, Stefano	10.1708/1178.13053	bvs
299	A randomized, double-blind, controlled trial evaluating the effect of intranasal insulin on neurocognitive function in euthymic patients with bipolar disorder.	McIntyre, Roger S; Soczynska, Joanna K; Woldeyohannes, Hanna O; Miranda, Andrew; Vaccarino, Anthony; Macqueen, Glenda; Lewis, Gary F; Kennedy, Sidney H	10.1111/bdi.12006	bvs
300	Effects of N-acetyl cysteine on cognitive function in bipolar disorder.	Dean, Olivia M; Bush, Ashley I; Copolov, David L; Kohlmann, Kristy; Jeavons, Susan; Schapkaitz, Ian; Anderson-Hunt, Murray; Berk, Michael	10.1111/j.1440-1819.2012.02392.x	bvs
301	Course, outcomes, and psychosocial interventions for first-episode mania.	McMurrich, Stephanie; Sylvia, Louisa G; Dupuy, Jamie M; Peckham, Andrew D; Peters, Amy T; Deckersbach, Thilo; Perlis, Roy H	10.1111/bdi.12001	bvs
302	Cognitive decline in elderly bipolar disorder patients: a follow-up study.	Schouws, Sigfried Ntm; Stek, Max L; Comijs, Hannie C; Dols, Annemieke; Beekman, Aartjan Tf	10.1111/bdi.12000	bvs
303	Neuropsychological and mood effects of ketamine in electroconvulsive therapy: a randomised controlled trial.	Loo, Colleen K; Katalinic, Natalie; Garfield, Joshua B B; Sainsbury, Kirby; Hadzi-Pavlovic, Dusan; Mac-Pherson, Ross	10.1016/j.jad.2012.04.032	bvs
304	A systematic review of cognitive remediation for schizo-affective and affective disorders.	Anaya, Celia; Martinez Aran, Anabel; Ayuso-Mateos, Jose L; Wykes, Til; Vieta, Eduard; Scott, Jan	10.1016/j.jad.2012.04.020	bvs
305	Transdiagnostic treatment of bipolar disorder and comorbid anxiety with the unified protocol: a clinical replication series.	Ellard, Kristen K; Deckersbach, Thilo; Sylvia, Louisa G; Nierenberg, Andrew A; Barlow, David H	10.1177/0145445512451272	bvs
306	A randomized trial to examine the effect of mifepristone on neuropsychological performance and mood in patients with bipolar depression.	Watson, Stuart; Gallagher, Peter; Porter, Richard J; Smith, Margaret S; Herron, Lisa J; Bulmer, Samantha; Young, Allan H; Ferrier, I Nicol	10.1016/j.biopsych.2012.05.029	bvs
307	Age-grouped differences in bipolar mania.	Safer, Daniel J; Magno Zito, Julie; Safer, Alan M	10.1016/j.comppsych.2012.04.011	bvs
308	Neurocognitive training in patients with bipolar disorders: current status and perspectives.	Fuentes-Durá, Inmaculada; Balanzá-Martínez, Vicent; Ruiz-Ruiz, Juan Carlos; Martínez-Arán, Anabel; Girón, Manuel; Solé, Brisa; Sánchez-Moreno, José; Gómez-Beneyto, Manuel; Vieta, Eduard; Tabarés-Seisdedos, Rafael	10.1159/000335821	bvs
309	Efficacy of pharmacotherapy in bipolar disorder: a report by the WPA section on pharmacopsychiatry.	Fountoulakis, Konstantinos N; Kasper, Siegfried; Andreassen, Ole; Blier, Pierre; Okasha, Ahmed; Severus, Emanuel; Versiani, Marcio; Tandon, Rajiv; Möller, Hans-Jürgen; Vieta, Eduard	10.1007/s00406-012-0323-x	bvs
310	The double-edged sword of goal engagement: consequences of goal pursuit in bipolar disorder.	Johnson, Sheri L; Fulford, Daniel; Carver, Charles S	10.1002/cpp.1801	bvs
311	Mood regulation in youth:  research findings and clinical approaches to irritability and short-lived episodes of mania-like symptoms.	Leigh, Eleanor; Smith, Patrick; Milavic, Gordana; Stringaris, Argyris	10.1097/YCO.0b013e3283534982	bvs
312	Cross-diagnostic comparison of duration mismatch negativity and P3a in bipolar disorder and schizophrenia.	Jahshan, Carol; Wynn, Jonathan K; Mathis, Kristopher I; Altshuler, Lori L; Glahn, David C; Green, Michael F	10.1111/j.1399-5618.2012.01008.x	bvs
313	Six-month outcomes of customized adherence enhancement (CAE) therapy in bipolar disorder.	Sajatovic, Martha; Levin, Jennifer; Tatsuoka, Curtis; Micula-Gondek, Weronika; Fuentes-Casiano, Edna; Bialko, Christopher S; Cassidy, Kristin A	10.1111/j.1399-5618.2012.01010.x	bvs
314	Developmental epidemiology of depressive disorders.	Goldman, Stuart	10.1016/j.chc.2011.12.002	bvs
315	Child and adolescent depression intervention overview: what works, for whom and how well?	Maalouf, Fadi T; Brent, David A	10.1016/j.chc.2012.01.001	bvs
316	Correlates of treatment response in depressed older adults with bipolar disorder.	Gildengers, Ariel; Tatsuoka, Curtis; Bialko, Christopher; Cassidy, Kristin A; Al Jurdi, Rayan K; Gyulai, Laszlo; Mulsant, Benoit H; Young, Robert C; Sajatovic, Martha	10.1177/0891988712436685	bvs
317	Characteristics associated with inpatient versus outpatient status in older adults with bipolar disorder.	Al Jurdi, Rayan K; Schulberg, Herbert C; Greenberg, Rebecca L; Kunik, Mark E; Gildengers, Ariel; Sajatovic, Martha; Mulsant, Benoit H; Young, Robert C	10.1177/0891988712436684	bvs
318	Adjunctive couple and family intervention for patients with anxiety disorders.	Chambless, Dianne L	10.1002/jclp.21851	bvs
319	Family consultation for psychiatrically complicated health problems.	Rohrbaugh, Michael J; Kogan, Anya V; Shoham, Varda	10.1002/jclp.21856	bvs
320	Remifentanil added to propofol for induction of anesthesia can reduce reorientation time after electroconvulsive therapy in patients with severe mania.	Rezaei, Farzin; Nasseri, Karim; Esfandiari, Gholam Reza; Sadeghi, Sayed Mohammad Hossein; Fathie, Mohammad; Gharibi, Fardin	10.1097/YCT.0b013e31824d1cea	bvs
321	Parenting and the emotional and behavioural adjustment of young children in families with a parent with bipolar disorder.	Calam, Rachel; Jones, Steven; Sanders, Matthew R; Dempsey, Robert; Sadhnani, Vaneeta	10.1017/S1352465812000094	bvs
322	Design and rationale of a randomized controlled trial to reduce cardiovascular disease risk for patients with bipolar disorder.	Goodrich, David E; Kilbourne, Amy M; Lai, Zongshan; Post, Edward P; Bowersox, Nicholas W; Mezuk, Briana; Schumacher, Karen; Bramlet, Margretta; Welsh, Deborah E; Bauer, Mark S	10.1016/j.cct.2012.02.010	bvs
323	Cognition in older adults with bipolar disorder versus major depressive disorder.	Gildengers, Ariel G; Butters, Meryl A; Chisholm, Denise; Anderson, Stewart J; Begley, Amy; Holm, Margo; Rogers, Joan C; Reynolds, Charles F; Mulsant, Benoit H	10.1111/j.1399-5618.2012.00995.x	bvs
324	Transcranial direct current stimulation for depression: 3-week, randomised, sham-controlled trial.	Loo, Colleen K; Alonzo, Angelo; Martin, Donel; Mitchell, Philip B; Galvez, Veronica; Sachdev, Perminder	10.1192/bjp.bp.111.097634	bvs
325	Do sub-syndromal manic symptoms influence outcome in treatment resistant depression in adolescents? A latent class analysis from the TORDIA study.	Maalouf, Fadi T; Porta, Giovanna; Vitiello, Benedetto; Emslie, Graham; Mayes, Taryn; Clarke, Gregory; Wagner, Karen D; Asarnow, Joan Rosenbaum; Spirito, Anthony; Keller, Martin; Birmaher, Boris; Ryan, Neal; Shamseddeen, Wael; Iyengar, Satish; Brent, David	10.1016/j.jad.2011.12.021	bvs
326	Predictors of good outcome in patients with refractory bipolar disorder after a drug or a drug and cognitive-behavioral treatment.	González-Isasi, Ana; Echeburúa, Enrique; Limiñana, José María; González-Pinto, Ana	10.1016/j.comppsych.2011.05.001	bvs
327	[Bipolar disorder: inter-episode symptoms]./ Trouble bipolaire : la pathologie intercritique.	Azorin, J-M	10.1016/S0013-7006(12)70091-X	bvs
328	[Cognitions and functioning in euthymic bipolar patients: screening and treatment]./ Déficits cognitifs des troubles bipolaires: repérage et prise en charge.	Bellivier, Frank	10.1016/S0013-7006(12)70092-1	bvs
329	Placebo-controlled adjunctive trial of pramipexole in patients with bipolar disorder: targeting cognitive dysfunction.	Burdick, Katherine E; Braga, Raphael J; Nnadi, Charles U; Shaya, Yaniv; Stearns, Walter H; Malhotra, Anil K	10.4088/JCP.11m07299	bvs
330	Insight in bipolar disorder.	Látalová, Klára	10.1007/s11126-011-9200-4	bvs
331	Abnormal anterior cingulate cortical activity during emotional n-back task performance distinguishes bipolar from unipolar depressed females.	Bertocci, M A; Bebko, G M; Mullin, B C; Langenecker, S A; Ladouceur, C D; Almeida, J R C; Phillips, M L	10.1017/S003329171100242X	bvs
332	Predictors of response among patients with panic disorder treated with medications in a naturalistic follow-up: the role of adult separation anxiety.	Miniati, M; Calugi, S; Rucci, P; Shear, M K; Benvenuti, A; Santoro, D; Mauri, M; Cassano, G B	10.1016/j.jad.2011.10.008	bvs
333	Implementing a structured psychosocial interventions group programme for people with bipolar disorder.	Stern, T; Sin, J	10.1111/j.1365-2850.2011.01816.x	bvs
334	Presurgical language mapping in children with epilepsy: clinical usefulness of functional magnetic resonance imaging for the planning of cortical stimulation.	de Ribaupierre, Sandrine; Fohlen, Martine; Bulteau, Christine; Dorfmüller, Georg; Delalande, Olivier; Dulac, Olivier; Chiron, Catherine; Hertz-Pannier, Lucie	10.1111/j.1528-1167.2011.03329.x	bvs
335	Neuropsychological performance in bipolar I, bipolar II and unipolar depression patients: a longitudinal, naturalistic study.	Xu, Guiyun; Lin, Kangguang; Rao, Dongping; Dang, Yamei; Ouyang, Huiyi; Guo, Yangbo; Ma, Jinxiang; Chen, Jichong	10.1016/j.jad.2011.11.029	bvs
336	Co-morbid disruptive behavior disorder and aggression predict functional outcomes and differential response to risperidone versus divalproex in pharmacotherapy for pediatric bipolar disorder.	West, Amy E; Weinstein, Sally M; Celio, Christine I; Henry, David; Pavuluri, Mani N	10.1089/cap.2010.0140	bvs
337	Stutter exacerbated by lithium in a pediatric patient with bipolar disorder.	Gulack, Brian C; Puri, Neil V; Kim, Wun J	10.1345/aph.1Q140	bvs
338	Confounding by indication of a specific antipsychotic and the increase of body mass index among children and adolescents.	Martínez-Ortega, José María; Diaz-Atienza, Francisco; Gutiérrez-Rojas, Luis; Jurado, Dolores; Gurpegui, Manuel	10.1007/s00787-011-0215-z	bvs
339	Young mania rating scale line item analysis in pediatric subjects with bipolar I disorder treated with aripiprazole in a short-term, double-blind, randomized study.	Mankoski, Raymond; Zhao, Joan; Carson, William H; Mathew, Suja J; Forbes, Robert A	10.1089/cap.2010.0100	bvs
340	Clinical and cognitive correlates of suicide attempts in bipolar disorder: is suicide predictable?	Gilbert, Alison M; Garno, Jessica L; Braga, Raphael J; Shaya, Yaniv; Goldberg, Terry E; Malhotra, Anil K; Burdick, Katherine E	10.4088/JCP.10m06410	bvs
341	Visuospatial working memory deficits in remitted patients with bipolar disorder: susceptibility to the effects of GABAergic agonists.	Pan, Yi-Ju; Hsieh, Ming H; Liu, Shi-Kai	10.1111/j.1399-5618.2011.00931.x	bvs
342	Developments in pediatric psychopharmacology: focus on stimulants, antidepressants, and antipsychotics.	Correll, Christoph U; Kratochvil, Christopher J; March, John S	10.4088/JCP.11r07064	bvs
343	Therapeutic options in treatment-resistant depression.	Vieta, Eduard; Colom, Francesc	10.3109/07853890.2011.583675	bvs
344	Mental health service use by children with serious emotional and behavioral disturbance: results from the LAMS study.	Mendenhall, Amy N; Demeter, Christine; Findling, Robert L; Frazier, Thomas W; Fristad, Mary A; Youngstrom, Eric A; Arnold, L Eugene; Birmaher, Boris; Gill, Mary Kay; Axelson, David; Kowatch, Robert A; Horwitz, Sarah McCue	10.1176/ps.62.6.pss6206_0650	bvs
345	The effectiveness of cognitive behavioral group therapy in treating bipolar disorder: a randomized controlled study/ A eficácia da terapia cognitivo-comportamental para o tratamento do transtorno bipolar: um estudo controlado e randomizado	Costa, Rafael Thomaz da; Cheniaux, Elie; Rosaes, Pedro Augusto Legnani; Carvalho, Marcele Regine de; Freire, Rafael Christophe da Rocha; Versiani, Márcio; Rangé, Bernard Pimentel; Nardi, Antonio Egidio	10.1590/S1516-44462011000200009	bvs
346	MMN/P3a deficits in first episode psychosis: comparing schizophrenia-spectrum and affective-spectrum subgroups.	Kaur, Manreena; Battisti, Robert A; Ward, Philip B; Ahmed, Arnab; Hickie, Ian B; Hermens, Daniel F	10.1016/j.schres.2011.03.025	bvs
347	Criminal conviction, impulsivity, and course of illness in bipolar disorder.	Swann, Alan C; Lijffijt, Marijn; Lane, Scott D; Kjome, Kimberly L; Steinberg, Joel L; Moeller, F Gerard	10.1111/j.1399-5618.2011.00900.x	bvs
348	Executive functioning in familial bipolar I disorder patients and their unaffected relatives.	Schulze, Katja K; Walshe, Muriel; Stahl, Daniel; Hall, Mei Hua; Kravariti, Eugenia; Morris, Robin; Marshall, Nicolette; McDonald, Colm; Murray, Robin M; Bramon, Elvira	10.1111/j.1399-5618.2011.00901.x	bvs
349	Differential pattern of semantic memory organization between bipolar I and II disorders.	Chang, Jae Seung; Choi, Sungwon; Ha, Kyooseob; Ha, Tae Hyon; Cho, Hyun Sang; Choi, Jung Eun; Cha, Boseok; Moon, Eunsoo	10.1016/j.pnpbp.2011.02.020	bvs
350	Association of clinical symptoms and neurocognitive performance in bipolar disorder: a longitudinal study.	Chaves, Olga C; Lombardo, Lauren E; Bearden, Carrie E; Woolsey, Mary D; Martinez, David M; Barrett, Jennifer A; Miller, Alexander L; Velligan, Dawn I; Glahn, David C	10.1111/j.1399-5618.2011.00888.x	bvs
351	Pilot study of group cognitive behaviour therapy for heterogeneous acute psychiatric inpatients: treatment in a sole-standalone session allowing patients to choose the therapeutic target.	Raune, David; Daddi, Inderpal	10.1017/S1352465810000834	bvs
352	Effects of atypical antipsychotics on neurocognition in euthymic bipolar patients.	Torrent, Carla; Martinez-Arán, Anabel; Daban, Claire; Amann, Benedikt; Balanzá-Martínez, Vicente; del Mar Bonnín, Caterina; Cruz, Núria; Franco, Carolina; Tabarés-Seisdedos, Rafael; Vieta, Eduard	10.1016/j.comppsych.2010.12.009	bvs
353	Behavioral health interventions being implemented in a VA primary care system.	Funderburk, Jennifer S; Sugarman, Dawn E; Labbe, Allison K; Rodrigues, Amy; Maisto, Stephen A; Nelson, Bruce	10.1007/s10880-011-9230-y	bvs
354	Cognitive efficacy of quetiapine and olanzapine in early-onset first-episode psychosis.	Robles, Olalla; Zabala, Arantzazu; Bombín, Igor; Parellada, Mara; Moreno, Dolores; Ruiz-Sancho, Ana; Arango, Celso	10.1093/schbul/sbp062	bvs
355	Neuropsychological factors differentiating treated children with pediatric bipolar disorder from those with attention-deficit/hyperactivity disorder.	Mattis, Steven; Papolos, Demitri; Luck, Dana; Cockerham, Melissa; Thode, Henry C	10.1080/13803395.2010.493146	bvs
356	Effects of 3 different stimulus intensities of ultrabrief stimuli in right unilateral electroconvulsive therapy in major depression: a randomized, double-blind pilot study.	Quante, Arnim; Luborzewski, Alexander; Brakemeier, Eva-Lotta; Merkl, Angela; Danker-Hopfe, Heidi; Bajbouj, Malek	10.1016/j.jpsychires.2010.08.006	bvs
357	Mindfulness based cognitive therapy for psychiatric disorders: a systematic review and meta-analysis.	Chiesa, Alberto; Serretti, Alessandro	10.1016/j.psychres.2010.08.011	bvs
358	Atypical antipsychotic medications in the management of disruptive behaviors in children: safety guidelines and recommendations.	McKinney, Cliff; Renk, Kimberly	10.1016/j.cpr.2010.11.005	bvs
359	Dealing with Feelings: the effectiveness of cognitive behavioural group treatment for women in secure settings.	Long, Clive G; Fulton, Barbara; Dolley, Olga; Hollin, Clive R	10.1017/S1352465810000573	bvs
360	Is cognitive enhancement therapy equally effective for patients with schizophrenia and schizoaffective disorder?	Lewandowski, Kathryn E; Eack, Shaun M; Hogarty, Susan S; Greenwald, Deborah P; Keshavan, Matcheri S	10.1016/j.schres.2010.11.017	bvs
361	Review of attention-deficit/hyperactivity disorder comorbid with oppositional defiant disorder.	Hazell, Philip	10.3109/10398562.2010.498049	bvs
362	Aerobic physical exercise as a possible treatment for neurocognitive dysfunction in bipolar disorder.	Kucyi, Aaron; Alsuwaidan, Mohammad T; Liauw, Samantha S; McIntyre, Roger S	10.3810/pgm.2010.11.2228	bvs
363	A pharmacological functional magnetic resonance imaging study probing the interface of cognitive and emotional brain systems in pediatric bipolar disorder.	Pavuluri, Mani N; Passarotti, Alessandra M; Parnes, Stephanie A; Fitzgerald, Jacklynn M; Sweeney, John A	10.1089/cap.2009.0105	bvs
364	Effects of erythropoietin on depressive symptoms and neurocognitive deficits in depression and bipolar disorder.	Miskowiak, Kamilla W; Vinberg, Maj; Harmer, Catherine J; Ehrenreich, Hannelore; Knudsen, Gitte M; Macoveanu, Julian; Hansen, Allan R; Paulson, Olaf B; Siebner, Hartwig R; Kessing, Lars V	10.1186/1745-6215-11-97	bvs
365	Family-focused treatment for caregivers of patients with bipolar disorder.	Perlick, Deborah A; Miklowitz, David J; Lopez, Norma; Chou, James; Kalvin, Carla; Adzhiashvili, Victoria; Aronson, Andrew	10.1111/j.1399-5618.2010.00852.x	bvs
366	Neurocognitive and neuroimaging predictors of clinical outcome in bipolar disorder.	Bearden, Carrie E; Woogen, Michelle; Glahn, David C	10.1007/s11920-010-0151-5	bvs
367	Effects of recurrence on the cognitive performance of patients with bipolar I disorder: implications for relapse prevention and treatment adherence.	López-Jaramillo, Carlos; Lopera-Vásquez, Juan; Gallo, Aurora; Ospina-Duque, Jorge; Bell, Vaughan; Torrent, Carla; Martínez-Arán, Anabel; Vieta, Eduard	10.1111/j.1399-5618.2010.00835.x	bvs
368	Psychiatric disorders and sexual risk among adolescents in mental health treatment.	Brown, Larry K; Hadley, Wendy; Stewart, Angela; Lescano, Celia; Whiteley, Laura; Donenberg, Geri; DiClemente, Ralph	10.1037/a0019632	bvs
369	Cortical thickness and subcortical volumes in schizophrenia and bipolar disorder.	Rimol, Lars M; Hartberg, Cecilie B; Nesvåg, Ragnar; Fennema-Notestine, Christine; Hagler, Donald J; Pung, Chris J; Jennings, Robin G; Haukvik, Unn K; Lange, Elisabeth; Nakstad, Per H; Melle, Ingrid; Andreassen, Ole A; Dale, Anders M; Agartz, Ingrid	10.1016/j.biopsych.2010.03.036	bvs
370	Basal Ganglia activity in pathological gambling: a fluorodeoxyglucose-positron emission tomography study.	Pallanti, Stefano; Haznedar, M Mehmet; Hollander, Eric; Licalzi, Elizabeth M; Bernardi, Silvia; Newmark, Randall; Buchsbaum, Monte S	10.1159/000317286	bvs
371	A symptom-specific analysis of the effect of high-frequency left or low-frequency right transcranial magnetic stimulation over the dorsolateral prefrontal cortex in major depression.	Rossini, D; Lucca, A; Magri, L; Malaguti, A; Smeraldi, E; Colombo, C; Zanardi, R	10.1159/000315439	bvs
372	Evidence and implications for early intervention in bipolar disorder.	Berk, Michael; Hallam, Karen; Malhi, Gin S; Henry, Lisa; Hasty, Melissa; Macneil, Craig; Yucel, Murat; Pantelis, Chris; Murphy, Brendan; Vieta, Eduard; Dodd, Seetal; McGorry, Patrick D	10.3109/09638230903469111	bvs
373	Enhanced working and verbal memory after lamotrigine treatment in pediatric bipolar disorder.	Pavuluri, Mani N; Passarotti, Alessandra M; Mohammed, Tahseen; Carbray, Julie A; Sweeney, John A	10.1111/j.1399-5618.2010.00792.x	bvs
374	Smoking outcome by psychiatric history after behavioral and varenicline treatment.	McClure, Jennifer B; Swan, Gary E; Catz, Sheryl L; Jack, Lisa; Javitz, Harold; McAfee, Tim; Deprey, Mona; Richards, Julie; Zbikowski, Susan M	10.1016/j.jsat.2010.03.007	bvs
375	Lithium treatment effects on the neuropsychological functioning of patients with bipolar I disorder.	López-Jaramillo, Carlos; Lopera-Vásquez, Juan; Ospina-Duque, Jorge; García, Jenny; Gallo, Aurora; Cortez, Vladimir; Palacio, Carlos; Torrent, Carla; Martínez-Arán, Anabel; Vieta, Eduard	10.4088/JCP.08m04673yel	bvs
376	Neurocognitive functioning in patients with bipolar I disorder recently recovered from a first manic episode.	Torres, Ivan J; DeFreitas, Vanessa G; DeFreitas, Colin M; Kauer-Sant'Anna, Marcia; Bond, David J; Honer, William G; Lam, Raymond W; Yatham, Lakshmi N	10.4088/JCP.08m04997yel	bvs
377	Excellent lithium responders have normal cognitive functions and plasma BDNF levels.	Rybakowski, Janusz K; Suwalska, Aleksandra	10.1017/S1461145710000404	bvs
378	[Bipolar disorders as co-morbidity in childhood and adolescence--underdiagnosed or overinterpreted? Therapy of a 14-year-old boy with hyperkinetic conduct disorder and hypomania]./ Bipolare Störungen als Komorbidität im Kindes- und Jugendalter--unterdiagnostiziert oder überinterpretiert? Therapie eines 14-Jährigen mit Hyperkinetischer Störung des Sozialverhaltens und Hypomanie.	Rothermel, Boris; Poustka, Luise; Banaschewski, Tobias; Becker, Katja	10.1024/1422-4917.a000019	bvs
