DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
"Journal Article","A shared lived experience of a psychologist battling a mental health crisis.","This article is a combined 1st-person narrative of a mental health professional with a mental illness, referred to as a prosumer, and her psychologist friend who stood by her during her 1st manic episode with psychosis. Challenges prosumers face are highlighted. These include stigma, questions about the impact of illness on ability to work in the field, and the choice of whether to disclose about the illness and to whom. Disclosures about lived experience within public settings, outside of the therapy room, are encouraged for several reasons. Visibility can reinforce recovery, promote understanding and accurate empathy, encourage help-seeking behavior, destigmatize mental illness, and reinforce the development of trustworthy and credible supports. This frank and detailed narrative provides an example of a psychologist with bipolar disorder who, with support and active treatment, bravely overcame a mental health crisis and returned to wellness and contribution to the mental health field. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Vierthaler, Juli M.;Elliott, Erin C.","","","Psychological Services","Educational Publishing Foundation","2022","","US","19","1","46","48","","","*Mental Disorders;  *Mental Health Personnel;  *Psychologists;  *Recovery (Disorders);  *Stigma; Crises; Experiences (Events); Mania; Narratives; Psychosis; Self-Disclosure; Treatment","32673035","2020-51959-001","Elliott, Erin C.: Mental Health Service Line, Atlanta VA Health Care System, 1670 Clairmont Road, Decatur, GA, US, 30033, erin.elliott@va.gov","1939-148X(Electronic);1541-1559(Print)","","https://doi.org/10.1037/ser0000489"
"Journal Article","Family functioning in bipolar I disorder.","In a sample of 62 patients with Bipolar I disorder, the authors used a repeated measures longitudinal design to examine whether global family functioning was associated with the presence of a concurrent bipolar episode as well as whether global family functioning was associated with the presence of manic and depressive episodes in the following 3 months. Participants were recruited for a randomized clinical trial examining the efficacy of family treatments combined with pharmacotherapy for bipolar disorder. Global family functioning was repeatedly measured with both clinician-rated and patient-rated assessment instruments over the 28-month study period. Results indicated that mood episodes were associated with concurrent global family functioning within individuals, but global family functioning was not associated with episode status in the subsequent 3 months. The repeated measures nature of these results suggests that global family functioning and bipolar episodes may fluctuate in concert with each other but that global family functioning is not associated with subsequent change in episode status. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Uebelacker, Lisa A.;Beevers, Christopher G.;Battle, Cynthia L.;Strong, David;Keitner, Gabor I.;Ryan, Christine E.;Solomon, David A.;Miller, Ivan W.","","","Journal of Family Psychology","American Psychological Association","2006","","US","20","4","701","704","","","*Bipolar Disorder;  *Emotional States;  *Family Relations; Bipolar I Disorder","17176206","2006-22333-020","Uebelacker, Lisa A.: Psychosocial Research Program, Butler Hospital, 345 Blackstone Boulevard, Providence, RI, US, 02906, Lisa_Uebelacker@brown.edu","1939-1293(Electronic);0893-3200(Print)","","https://doi.org/10.1037/0893-3200.20.4.701"
"Journal Article","Psychopharmacology of aggression in children and adolescents with primary neuropsychiatric disorders: A review of current and potentially promising treatment options.","Research examining the role of pharmacological therapy in the treatment of children and adolescents with clinical disorders is growing. Clinical disorders that present with comorbid aggression can add a challenge to treatment. Child and adolescent neuropsychiatric disorders associated with aggression include attention-deficit hyperactivity disorder, various mood disorders and in particular bipolar disorders/pediatric mania, schizophrenia, mental retardation, oppositional defiant disorder, conduct disorder, and autism spectrum disorders. This review describes the psychopharmacy to treat these disorders and the aggression that often appears comorbidly. Existing literature regarding the efficacy and safety of psychotropics for youth with neuropsychiatric disorders also is discussed. In addition, general guidelines for psychopharmacy of aggression in children and adolescents are presented. Studies reviewed in this article provide evidence for the use of psychostimulants, alpha-2 agonists, beta blockers, lithium, anticonvulsant mood-stabilizers, atypical antipsychotics, traditional antipsychotics, and selective serotonin reuptake inhibitors in treating pediatric aggression with the choice of medication dependent on symptomology. Despite increased support for pediatric psychotropic use, there is a need for more long-term safety and efficacy studies of existing medications and newer, safer, and more effective agents with fewer side effects for the pharmacological treatment of all childhood disorders in which aggression is prominent. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Nevels, Robert M.;Dehon, Erin E.;Alexander, Katrina;Gontkovsky, Samuel T.","","","Experimental and Clinical Psychopharmacology","American Psychological Association","2010","","US","18","2","184","201","","","*Aggressive Behavior;  *Comorbidity;  *Disorders;  *Neuropsychiatry;  *Psychopharmacology; Adolescent Psychopathology; Child Psychopathology; Treatment","20384430","2010-06751-009","Gontkovsky, Samuel T.: Center for Neuroscience and Neurological Recovery, Methodist Rehabilitation Center, 1350 East Woodrow Wilson, Jackson, MS, US, 39216, sgontkovsky@hotmail.com","1936-2293(Electronic);1064-1297(Print)","","https://doi.org/10.1037/a0018059"
"Journal Article","Explanatory style change during cognitive therapy for unipolar depression.","We administered the Attributional Style Questionnaire to 39 unipolar depressed patients at the beginning and end of cognitive therapy and at one-year follow-up, and we administered it to 12 bipolar patients during a depressed episode. A pessimistic explanatory style for bad events correlated with severity of depression for unipolars at cognitive therapy intake (r = .56, p < .0002), termination (r = .57, p < .0008), and one-year follow-up (r = .64, p < .0005) and among the bipolars (r = .63, p < .03). Explanatory style and depressive symptoms significantly improved by the end of cognitive therapy and remained improved at one-year follow-up. For the unipolars in cognitive therapy, explanatory style change from intake to termination correlated with change in depressive symptoms from intake to termination (r = .65, p < .0001). These results suggest that explanatory style may be one of the mechanisms of change for unipolar depressive patients undergoing cognitive therapy. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","Seligman, Martin E. P.;Castellon, Camilo;Cacciola, John;Schulman, Peter;Luborsky, Lester;Ollove, Maxine;Downing, Robert","","","Journal of Abnormal Psychology","American Psychological Association","1988","","US","97","1","13","18","","","*Attribution;  *Cognitive Therapy;  *Major Depression; Bipolar Disorder; Followup Studies","3351107","1988-17750-001","","1939-1846(Electronic);0021-843X(Print)","","https://doi.org/10.1037/0021-843X.97.1.13"
"Journal Article","Employment outcomes in family-aided assertive community treatment.","Family-aided assertive community treatment (FACT) was enhanced by adding vocational specialists to help persons with severe mental illness obtain competitive employment. Ss were 69 18–55 yr olds with either schizophrenia, schizoaffective, schizophreniform or mood disorder. Results were then tested against those of conventional vocational rehabilitation (CVR). The FACT cohort demonstrated significantly better employment rates than did the CVR, while negative symptoms declined in the former and increased in the latter. No evidence was found that competitive work presented a significant risk for relapse. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","McFarlane, William R.;Dushay, Robert A.;Deakins, Susan M.;Stastny, Peter;Lukens, Ellen P.;Toran, Joanne;Link, Bruce","","","American Journal of Orthopsychiatry","American Orthopsychiatric Association, Inc.","2000","","US","70","2","203","214","","","*Community Mental Health Services;  *Family;  *Mental Disorders;  *Occupational Guidance;  *Vocational Rehabilitation; Severity (Disorders); Vocational Counselors; Assertive Community Treatment; Serious Mental Illness","10826032","2000-15379-006","","1939-0025(Electronic);0002-9432(Print)","","https://doi.org/10.1037/h0087819"
"Comment/Reply","Psychological Treatment and Medication for the Mood and Anxiety Disorders: Moderators, Mediators, and Domains of Outcome.","Comments on the article by M. Otto et al (this issue; see article 2005-01375-010) regarding combined treatments for mood and anxiety disorders in adults. The current author notes that studies that combine pharmacotherapy with psychological treatment for the mood and anxiety disorders must consider the role of moderators (pretreatment variables that specify the conditions under which treatments are effective) and mediators (change mechanisms in the causal pathways between treatments and outcomes) in explaining the impact of experimental treatments. This article gives examples of the kinds of moderators and mediators--both psychosocial and biological--that are important to examine in combination treatment studies. It conceptualizes outcome as involving multiple domains, including mood and anxiety symptoms, life functioning, and illness costs. Research should also examine the appropriate sequencing of pharmacological and psychosocial interventions and how this sequencing may vary from disorder to disorder. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","Miklowitz, David J.","","","","Blackwell Publishing","2005","","United Kingdom","12","1","97","99","","","*Affective Disorders;  *Anxiety Disorders;  *Drug Therapy;  *Interdisciplinary Treatment Approach;  *Psychotherapy; Biology; Bipolar Disorder; Chronicity (Disorders); Cognitive Behavior Therapy; Major Depression; Psychosocial Factors; Relapse Prevention; Severity (Disorders); Treatment Outcomes","","2005-01375-013","Miklowitz, David J.: Department of Psychology, University of Colorado, Muenzinger Building, Boulder, CO, US, 80309-0345, miklow@psych.colorado.edu","1468-2850(Electronic);0969-5893(Print)","","https://doi.org/10.1093/clipsy.bpi012"
"Journal Article","Why and how people decide to stop taking prescribed psychiatric medication: Exploring the subjective process of choice.","Objective: Despite the piling evidence supporting the effectiveness of psychiatric medication, research has consistently shown that only about half of those administered treatment actually take it as prescribed. The purpose of the present study was to explore why and how people with a serious mental illness (SMI) choose to stop taking prescribed medication. Method: Seven persons with SMI who had been prescribed and had used medication in the past, but had not taken medication for at least a year, participated in semi-structured interviews, which were recorded and later transcribed. Qualitative analysis provided a foundation for sketching a hypothesized five-stage model of the process involved in choosing to stop medication. Results: This study revealed the subjective experience of taking medication, dilemmas it evokes, and the struggle to develop a personal perspective, plan and choice with regard to medication use. Conclusions: Implications of these findings are discussed, emphasizing the importance of the 'doctor-patient' relationship context. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Roe, David;Goldblatt, Hadass;Baloush-Klienman, Vered;Swarbrick, Margaret;Davidson, Larry","","","Psychiatric Rehabilitation Journal","International Association of Psychosocial Rehabilitation Services and Department of Rehabilitation Counseling, Sargent College of Health and Rehabilitation Services, Boston University","2009","","US","33","1","38","46","","","*Drug Therapy;  *Mental Disorders;  *Prescription Drugs;  *Serious Mental Illness; Choice Behavior; Decision Making","19592378","2009-11178-006","Roe, David: Department of Community Mental Health, Faculty of Social Welfare & Health Sciences, University of Haifa, Haifa, Israel, 31905, droe@univ.haifa.ac.il","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.2975/33.1.2009.38.46"
"Journal Article","The unipolar–bipolar distinction in the depressive disorders.","Reviews studies concerned with symptomatic behavior, clinical characteristics, genetic factors, and pharmacological response in relation to the unipolar–bipolar distinction in depressive disorders. The findings suggest that differences among some forms of the larger polar disorders do exist in the above areas. However, heterogeneity of results remains evident, indicating that finer subdivisions within the larger polar groups are necessary. Accordingly, research within the guidelines of a genetic taxonomy of polar groups is assessed and recommended as the most productive framework for future investigation of the depressive disorders. (4 p ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Depue, Richard A.;Monroe, Scott M.","","","Psychological Bulletin","American Psychological Association","1978","","US","85","5","1001","1029","","","*Bipolar Disorder;  *Depression (Emotion);  *Differential Diagnosis;  *Etiology;  *Symptoms; Drug Therapy; Genetics; Prognosis","704718","1979-26134-001","","1939-1455(Electronic);0033-2909(Print)","","https://doi.org/10.1037/0033-2909.85.5.1001"
"Journal Article","Sustaining outcomes research in residential treatment: A 15-year study of the Gould Farm program.","We present findings from a study of outcomes of residential treatment for people who have mental illness, primarily schizophrenia-spectrum and bipolar disorders. The study assesses a range of individual variables before and after participation in the program, to examine clinical and personal recovery and facilitate program improvement. To our knowledge, it is the longest ongoing outcomes study (15+ years) of its kind. The program, Gould Farm, provides recovery-focused, milieu treatment on a 700-acre working farm. It integrates counseling and medication with a work program that provides opportunities for the development of daily living, social, and work skills as well as mental and physical health. Clients were interviewed in person at intake and at discharge. Also, since study year 10 when the follow-up arm began, former clients were interviewed at 6, 18, and 36 months postdischarge via phone. Interview protocols included standard measures of psychiatric symptoms and functioning, substance use, quality of life, and treatment satisfaction. Follow-up interview protocols also assessed individuals’ living, working, family, and social situations as well as their satisfaction in these areas of recovery. Statistically significant improvements on all measures were found at discharge, and were not moderated by key demographic or clinical factors. Preliminary follow-up data showed maintenance of treatment gains, and high treatment satisfaction. We discuss clinical implications of the findings as well as limitations, directions for future research, and recommendations for sustaining outcomes research in organized care settings. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Heatherington, Laurie;Bonner, Bryan L.;Rosenberg, David;Patterson, Robert D.;Linsley, Jane","","","Psychological Services","Educational Publishing Foundation","2019","","US","16","4","675","686","","","*Mental Disorders;  *Recovery (Disorders);  *Residential Care Institutions;  *Treatment Outcomes; Bipolar Disorder; Client Satisfaction; Counseling; Drug Therapy; Milieu Therapy; Quality of Life; Schizophrenia; Test Construction","29902024","2018-28096-001","Heatherington, Laurie: Williams College, Psychology Building, 25 Stetson Court, Williamstown, MA, US, 01267, lheather@williams.edu","1939-148X(Electronic);1541-1559(Print)","","https://doi.org/10.1037/ser0000253"
"Journal Article","Extreme appraisals of internal states and bipolar symptoms: The Hypomanic Attitudes and Positive Predictions Inventory.","The Hypomanic Attitudes and Positive Predictions Inventory (HAPPI; W. Mansell, 2006) was developed to assess multiple, extreme, self-relevant appraisals of internal states. The present study aimed to validate the HAPPI in a clinical sample. Participants (N = 50) with a diagnosis of bipolar disorder (confirmed by a structured clinical interview) completed a series of questionnaires pertaining to clinical factors, reward motivation, cognitive style, symptoms, and functioning at baseline, in addition to the HAPPI. Over the following 4 weeks, participants were asked to complete self-report measures of symptoms (activation, perceived conflict, depression, and well-being), as well as work and social functioning, twice weekly. The authors hypothesized that the HAPPI would be associated with prospective bipolar symptoms and functioning, when controlling for baseline symptoms and potentially confounding measures. The HAPPI was positively, independently associated with activation and conflict after 4 weeks. Furthermore, individual HAPPI factors were associated with activation, conflict, and depression. The results provided preliminary support for the predictive validity of the HAPPI in a clinical sample. The HAPPI could be used in the future as a tool in cognitive behavioral therapy for bipolar disorder to identify problematic beliefs and guide formulation. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Dodd, Alyson L.;Mansell, Warren;Morrison, Anthony P.;Tai, Sara","","","Psychological Assessment","American Psychological Association","2011","","US","23","3","635","645","","","*Bipolar Disorder;  *Cognitive Appraisal;  *Inventories;  *Test Validity; Behavior","21500923","2011-07791-001","Dodd, Alyson L.: Spectrum Centre for Mental Health Research, Division of Health Research, Lancaster University, Lancaster, United Kingdom, LA1 4YT, a.dodd@lancaster.ac.uk","1939-134X(Electronic);1040-3590(Print)","","https://doi.org/10.1037/a0022972"
"Journal Article","Agenda setting in psychiatric consultations: An exploratory study.","Objective: Patient- or consumer-centeredness has been recognized as a critical component of quality in primary health care, but is only beginning to be recognized and studied in mental health. Among the first opportunities to be consumer-centered is collaboratively producing an agenda of topics to be covered during a clinic visit. Early agenda setting sets the stage for what is to come and can affect the course, direction, and quality of care. The purpose of this work is to study agenda setting practices among 8 prescribers (5 psychiatrists and 3 nurse practitioners) at the beginning of their encounters with 124 consumers diagnosed with schizophrenia spectrum disorders (56%), bipolar disorder (23%), major depression (15%), and other disorders (6%). Method: We modified an extant agenda-setting rubric by adding behaviors identified by a multidisciplinary team who iteratively reviewed transcripts of the visit openings. Once overall consensus was achieved, two research assistants coded all of the transcripts. Twenty-five transcripts were scored by both raters to establish interrater reliability. Results: We identified 10 essential elements of agenda setting. Almost 10% of visits had no agenda set, and only 1 of 3 encounters had partial or complete elicitation of a single concern. Few additional concerns (4%) were solicited, and no encounter contained more than 6 essential elements. Conclusions and Implications for Practice: Collaborative agenda setting represents a unique opportunity to translate the concept of consumer-centeredness into mental health care. Initial results suggest the rating system is reliable, but the essential elements are not being used in practice. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Frankel, Richard M.;Salyers, Michelle P.;Bonfils, Kelsey A.;Oles, Sylwia K.;Matthias, Marianne S.","","","Psychiatric Rehabilitation Journal","Educational Publishing Foundation","2013","","US","36","3","195","201","","","*Client Centered Therapy;  *Communication;  *Primary Health Care;  *Psychotherapeutic Processes;  *Quality of Services; Mental Disorders; Mental Health; Severity (Disorders); Serious Mental Illness","23815174","2013-22752-001","Frankel, Richard M.: 1481 W. 10th St. (11H), Indianapolis, IN, US, 46202, rfrankel@iupui.edu","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.1037/prj0000004"
"Journal Article","Memory for therapy in bipolar disorder and comorbid insomnia.","Objective: To examine the extent to which patients recall the contents of therapy from 1 session to the next and to determine whether recall is associated with treatment outcome. Method: Thirty interepisode individuals with bipolar disorder and comorbid insomnia (ages 21–62 years, 56.7% women, 56.7% Caucasian) participated in a randomized controlled trial of psychotherapies. Patients received either cognitive behavior therapy for insomnia (CBTI–BP; n = 17) or psychoeducation (PE; n = 13). At the beginning of each weekly session, patients freely recalled as many therapy points (i.e., distinct ideas, principles, and experiences) as they could from their previous session. After each session, therapists recorded a list of all therapy points delivered. Treatment outcome was measured via the Insomnia Severity Index (ISI), Pittsburgh Sleep Quality Index, Patient-Reported Outcome Measurement Info System—Sleep, and Quality of Life—Sleep (QOL–Sleep), administered pre- and posttreatment, and treatment evaluation questions administered posttreatment. Results: Patients recalled 19.6% to 36.9% of therapy points listed by therapists. Raw numbers of therapy points recalled were positively correlated with reductions in ISI scores and gains in QOL–Sleep and with most treatment evaluation questions. Percentages of therapy points recalled were positively correlated with gains in QOL–Sleep but with no other sleep outcome measures or any of the treatment evaluation questions. Patients in CBTI–BP recalled more therapy points than did those in PE but did not differ in the percentages of points recalled. Conclusions: Memory for therapy is poor. The amount of content recalled is positively associated with treatment outcome. Enhancing memory for therapy might play a key role in improving treatment outcome. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Lee, Jason Y.;Harvey, Allison G.","","","Journal of Consulting and Clinical Psychology","American Psychological Association","2015","","US","83","1","92","102","","","*Bipolar Disorder;  *Cognitive Behavior Therapy;  *Insomnia;  *Memory;  *Treatment Outcomes; Comorbidity","25222800","2014-38355-001","Harvey, Allison G.: University of California, Berkeley, Department of Psychology, 2205 Tolman Hall 1650, Berkeley, CA, US, 94720-1650, aharvey@berkeley.edu","1939-2117(Electronic);0022-006X(Print)","","https://doi.org/10.1037/a0037911"
"Journal Article","Molecular modulation of prefrontal cortex: Rational development of treatments for psychiatric disorders.","Dysfunction of the prefrontal cortex (PFC) is a central feature of many psychiatric disorders, such as attention deficit hyperactivity disorder (ADHD), posttraumatic stress disorder (PTSD), schizophrenia, and bipolar disorder. Thus, understanding molecular influences on PFC function through basic research in animals is essential to rational drug development. In this review, we discuss the molecular signaling events initiated by norepinephrine and dopamine that strengthen working memory function mediated by the dorsolateral PFC under optimal conditions, and weaken working memory function during uncontrollable stress. We also discuss how these intracellular mechanisms can be compromised in psychiatric disorders, and how novel treatments based on these findings may restore a molecular environment conducive to PFC regulation of behavior, thought and emotion. Examples of successful translation from animals to humans include guanfacine for the treatment of ADHD and related PFC disorders, and prazosin for the treatment of PTSD. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Gamo, Nao J.;Arnsten, Amy F. T.","","","Behavioral Neuroscience","American Psychological Association","2011","","US","125","3","282","296","","","*Drug Therapy;  *Mental Disorders;  *Prefrontal Cortex;  *Short Term Memory;  *Molecular Neuroscience; Attention Deficit Disorder with Hyperactivity; Bipolar Disorder; Dopamine; Norepinephrine; Posttraumatic Stress Disorder; Psychopharmacology; Schizophrenia; Spatial Memory; Stress","21480691","2011-07329-001","Gamo, Nao J.: Department of Neurobiology, Yale University School of Medicine, P.O. Box 208001, New Haven, CT, US, 06520-8001, nao.gamo@yale.edu","1939-0084(Electronic);0735-7044(Print)","","https://doi.org/10.1037/a0023165"
"Journal Article","The efficacy of two adolescent substance abuse treatments and the impact of comorbid depression: Results of a small randomized controlled trial.","Objective: The purpose of this randomized trial was to investigate the efficacy of 2 behavioral treatments focusing on different change mechanisms in ameliorating a borderline personality disorder constellation of behaviors and substance use in adolescents referred by juvenile diversion programs. Methods: Forty adolescents 14–17 years of age and meeting Diagnostic and Statistical Manual of Mental Disorders (4th ed.) criteria for borderline personality disorder and substance use disorders were randomized to integrative borderline personality disorder–oriented adolescent family therapy (I-BAFT) or individual drug counseling. This design allowed a comparison of 2 manualized interventions, 1 family based and 1 individually oriented. Profiles of clinical change were used to detect impact and estimate treatment effect sizes. Results: Primary analyses showed that both interventions had a clinically significant impact on borderline personality disorder behaviors 12 months after baseline but with no differential treatment effects. The impact on substance use was more complex. Subgroup analyses revealed that adolescents with depression had significantly more severe profiles of borderline personality disorder and substance use. These youths were the only group to show reductions in substance use, but they only did so if they received the I-BAFT intervention. Study data also documented the high dosage of intensive residential treatment needed by this population. Conclusions and Implications for Practice: Results highlight the intensive treatment needs of juvenile justice–involved youths with co-occurring substance use and borderline personality disorder including depression, the hybrid outpatient and residential treatment often required by this population, and the promise of a family-oriented approach, particularly for youths with severe symptoms and co-occurring depression. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Santisteban, Daniel A.;Mena, Maite P.;Muir, Joan;McCabe, Brian E.;Abalo, Clara;Cummings, Amanda M.","","","Psychiatric Rehabilitation Journal","Educational Publishing Foundation","2015","","US","38","1","55","64","","","*Borderline Personality Disorder;  *Comorbidity;  *Drug Abuse;  *Family Therapy;  *Major Depression; Substance Use Disorder; Substance Use Treatment","25799306","2015-12225-006","Santisteban, Daniel A.: Department of Educational and Psychological Studies, School of Education and Human Development, University of Miami, Coral Gables, FL, US, 33146, dsantist@miami.edu","1559-3126(Electronic);1095-158X(Print)","","https://doi.org/10.1037/prj0000106"
"Journal Article","Contextual cognitive-behavioral therapies across the psychosis continuum: A review of evidence for schizophrenia, schizoaffective and bipolar disorders.","Considering several etiologic, therapeutic, and comorbidity-related factors, a psychosis continuum model has been proposed for the understanding and treatment of psychotic disorders. Within the new emerging treatment approaches, Contextual Cognitive-Behavioral Therapies (CCBT) seem to hold promise for the psychosis continuum. However, considering their novelty for this specific population, the quality of efficacy evidence remains unclear. Objective: To examine, critically analyze, and summarize the results from studies based on therapeutic models within the CCBT approach (Mindfulness and Acceptance-based interventions, Compassion-Focused Therapy, Dialectical Behavior Therapy, and Metacognitive Therapy) for patients with a diagnosis within the psychosis continuum (schizophrenia, schizoaffective disorder, bipolar disorder). Methods: Three leading electronic databases (MEDLINE/PUBMED; PsycINFO; Cochrane Library), a grey literature database (OpenGrey), and registered clinical trials (ClinicalTrials.Gov) were searched using combinations of key terms regarding the CCBT models and the diagnosis considered. Reference lists of the relevant studies and reviews were searched. Only Randomized Controlled Trials (RCTs) were included. The “Cochrane Risk of Bias Assessment Tool” was used for quality assessment. Results: A total of 17 articles were included. This review was based on a majority of unclear or low risk of bias studies. Benefits regarding clinical variables such as psychotic symptoms, anxiety and depression, functioning or quality of life were found. Conclusion: Overall the studies supported some benefits of CCBT approaches for the psychosis continuum. The conceptual perspective on treatment has changed, nevertheless the outcomes assessed are still symptom-focused and there is still need for improvement. Methodological considerations and future directions are presented. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","Martins, Maria João Ruivo Ventura;Castilho, Paula;Carvalho, Célia Barreto;Pereira, Ana Telma;Santos, Vitor;Gumley, Andrew;de Macedo, António Ferreira","","","European Psychologist","Hogrefe Publishing","2017","","Germany","22","2","83","100","","","*Cognitive Behavior Therapy;  *Psychosis; Bipolar Disorder; Schizoaffective Disorder; Schizophrenia","","2017-38199-002","Martins, Maria João Ruivo Ventura: CINEICC, Faculty of Psychology and Educational Sciences, University of Coimbra, Rua do Colégio Novo, Apartado 6153, Coimbra, Portugal, 3001-802, martins.mjrv@gmail.com","1878-531X(Electronic);1016-9040(Print)","","https://doi.org/10.1027/1016-9040/a000283"
"Journal Article","Pilot effectiveness evaluation of community-based multi-family psychoeducational psychotherapy for childhood mood disorders.","Several psychosocial, family-focused evidence-based treatments (EBTs) for youth with disruptive behavior have proven effective in practice settings. However, limited research has examined community implementation of EBTs for pediatric depression and bipolar disorder. This pilot open trial evaluated multi-family psychoeducational psychotherapy (MF-PEP) with 41 children ages 7 to 12 (54% male, 92% Caucasian) with mood disorders and their parents in an outpatient setting. MF-PEP is an 8-session, adjunctive EBT with parallel child and parent groups. Fourteen community therapists facilitated 6 MF-PEP groups at 3 agencies over 2 years. Developed checklists were used to evaluate adherence. Clinical outcomes were measured via clinician assessment and self-report questionnaires at pretreatment, posttreatment, 6-month follow-up, and 12-month follow-up, and analyzed via hierarchical linear modeling. Therapist group adherence ranged from 66.71% to 78.68% (M = 72.14%, SD = 4.85). Children experienced significant improvement in depressive and manic symptoms, and parents reported a significant increase in knowledge of mood disorders. Children with bipolar disorder and families with limited treatment history benefitted most from MF-PEP. Effect sizes (Cohen’s d) ranged from small to large for mood outcomes (d = 0.34 to 1.18), knowledge (d = 1.02), and treatment beliefs (d = 0.04 to 0.41). Limitations included small sample, missing data, and open design. Results suggest that MF-PEP may be impactful for families affected by pediatric mood disorders in the community, especially among youth with bipolar disorder and families novice to treatment. Randomized controlled trials are needed to provide more definitive evidence for the effectiveness of MF-PEP in practice settings. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","MacPherson, Heather A.;Mackinaw-Koons, Barbara;Leffler, Jarrod M.;Fristad, Mary A.","","","Couple and Family Psychology: Research and Practice","Educational Publishing Foundation","2016","","US","5","1","43","59","","","*Affective Disorders;  *Child Psychotherapy;  *Family Therapy;  *Psychoeducation;  *Treatment Effectiveness Evaluation; Child Psychopathology; Community Services","27057423","2016-08555-003","MacPherson, Heather A.: Department of Psychology, Harvard University, 1048 William James Hall, 33 Kirkland Street, Cambridge, MA, US, 02138, macpherson.14@osu.edu","2160-410X(Electronic);2160-4096(Print)","","https://doi.org/10.1037/cfp0000055"
"Journal Article","Improving quality of life in diverse rural older adults: A randomized trial of a psychological treatment.","The efficacy of home-delivered cognitive-behavioral therapy (CBT) in improving quality of life and reducing psychological symptoms in older adults was examined in this study. One hundred thirty-four participants, predominately African American and characterized as primarily rural, low resource, and physically frail, were randomly assigned to either CBT or a minimal support control condition. Results indicate that CBT participants evidenced significantly greater improvements in quality of life and reductions in psychological symptoms. Mediation of treatment through cognitive and behavioral variables was not found despite the acceptable delivery of CBT by research therapists. These data suggest that treatment can be effective with a disadvantaged sample of older adults and extend efficacy findings to quality of life domains. Creating access to evidence-based treatments through nontraditional delivery is an important continuing goal for geriatric health care. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","Scogin, Forrest;Morthland, Martin;Kaufman, Allan;Burgio, Louis;Chaplin, William;Kong, Grace","","","Psychology and Aging","American Psychological Association","2007","","US","22","4","657","665","","","*Cognitive Behavior Therapy;  *Geriatric Psychotherapy;  *Home Visiting Programs;  *Quality of Life;  *Rural Environments; Disadvantaged; Health Care Delivery","18179286","2007-18670-001","Scogin, Forrest: Department of Psychology, University of Alabama, Tuscaloosa, AL, US, 35487-0348, fscogin@as.ua.edu","1939-1498(Electronic);0882-7974(Print)","","https://doi.org/10.1037/0882-7974.22.4.657"
